house_value,Crime_Rate,Charles_river_bound,num_of_rooms,dist_to_employment_center,property_tax_rate,student_teacher_ratio,Nitric_Oxides,accessiblity_to_highway
237000,5.70818,No,7,3.3317,666,20.2,0.532,24
250000,5.73116,No,7,3.4106,666,20.2,0.532,24
218000,2.81838,No,6,4.0983,666,20.2,0.532,24
206000,2.37857,No,6,3.724,666,20.2,0.583,24
212000,3.67367,No,6,3.9917,666,20.2,0.583,24
191000,5.69175,No,6,3.5459,666,20.2,0.583,24
206000,4.83567,No,6,3.1523,666,20.2,0.583,24
152000,0.15086,No,5,1.8209,711,20.1,0.609,4
70000,0.18337,No,5,1.7554,711,20.1,0.609,4
81000,0.20746,No,5,1.8226,711,20.1,0.609,4
136000,0.10574,No,6,1.8681,711,20.1,0.609,4
201000,0.11132,No,6,2.1099,711,20.1,0.609,4
218000,0.17331,No,6,2.3817,391,19.2,0.585,6
245000,0.27957,No,6,2.3817,391,19.2,0.585,6
231000,0.17899,No,6,2.7986,391,19.2,0.585,6
197000,0.2896,No,5,2.7986,391,19.2,0.585,6
183000,0.26838,No,6,2.8927,391,19.2,0.585,6
212000,0.23912,No,6,2.4091,391,19.2,0.585,6
175000,0.17783,No,6,2.3999,391,19.2,0.585,6
168000,0.22438,No,6,2.4982,391,19.2,0.585,6
224000,0.06263,No,7,2.4786,273,21,0.573,1
206000,0.04527,No,6,2.2875,273,21,0.573,1
239000,0.06076,No,7,2.1675,273,21,0.573,1
220000,0.10959,No,7,2.3889,273,21,0.573,1
119000,0.04741,No,6,2.505,273,21,0.573,1
